Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
The Fox Fairy Court ,3.0,the son of an aristocratic family wang yuan feng is not interested in wealth or romance but is obsessed with solving cases after he accidentally saves the kindhearted and naive fox spirit xiao cui she marries him to pay the debt of gratitude yuan feng however stays away from her while xiao cui continuously makes trouble for him when yuan feng later becomes county magistrate she helps him with his investigations,chinese,40,2017,drama , action , animals , detective , fantasy , investigation ,wu janiceyu xiao cui supporting role, he ming hanjiang wan husupporting role, zhang edwardren ping shengsupporting role, wang ericwang yuan fengmain role,wu janiceyu xiao cui supporting role,wu janiceyu xiao cui supporting role
Little Valentine ,3.0,actor hu jun plays a single dad to his only daughter played by gina jin the modern drama explores the relationships between various types of parental figures as hu jun learns the dos and donts of being a dad beside a hormonal daughter he also has to deal with his own stubborn mother and a potential love interest in his life,chinese,40,2017,drama , comedy , drama , romance , chinese ,drama ,gao tai yuunknown role, cheng pei peiunknown role, cao luunknown role, hu junmain role, jin chenmain role, song yiunknown role
In the Name of People ,3.5,hou liang ping was appointed as an associate prosecutor and the director of the anticorruption department in bian xi province to investigate a case of murder his wife zhong xiao ai appointed by the central commission for discipline inspection in the name of looking after the family was also deployed to bian xi to secretly investigate the corruption of hu experiencing many difficulties and setbacks hou and zhong had been approaching the truth and the criminal groups behind the murder,chinese,60,2017,drama , crime , drama , political , chinese ,drama ,li guang fuzheng xi posupporting role, xu ya junqi tong weisupporting role, liu lukehou hao ransupporting role, ke lanlu yi kesupporting role, lu yihou liang pingmain role, zhang fengyisha rui jinmain role
The Advisors Alliance ,3.0,the drama is based on the life of sima yi a great politician and strategist that lived during the three kingdoms era,chinese,42,2017,drama , historical , political , romance , chinese ,drama , main role, song taogao xiangsupporting role, tang tinaguo zhaosupporting role, chang janinebai yuliansupporting role, kuang canchen daosupporting role, zhai ronaldyang xiusupporting role
Midnight Food Store ,3.0,the story follows a mysterious chef and his late night diner open from midnight to dawn featuring ordinary stories from his patrons every night as they chatter and eat the one requested dish,chinese,36,2017,drama , drama , food , romance , chinese ,drama , xiu jie kailiang hao shi role, zhang rui hancai you fang role, jiang a-joea sheng role, he jionggao jian ling role, wu xinelizabethsupporting role, xu kai chengcai zhi yong role
The Eternal Love ,3.5,mo lian cheng is the 8th prince of dongyue who is forced to marry qu tan er who was already in love with mo yi huai mo lian chengs elder brother qu tan er tries to commit suicide one day because she doesnt want to marry mo lian cheng but doesnt succeed one day she woke up and another person entered her body two people in one body but each person has a different personality and actions every time one of them tells a lie they would switch bodies although their outer appearance is the same their souls arent mo lian cheng is suspicious at why qu tan er is sometimes so different but soon he falls in love with xiao tan who is not lady like xiao tan who is from the modern world tries all methods so she can go back but so far nothing helps can xiao tan ever go back to the modern world  adapted from the novel hilarious pampered consort lord i will wait for your divorce written by fan que,chinese,24,2017,drama , comedy , historical , romance , chinese ,drama ,sun yi zhujing xinsupporting role, wang richardsmo yi huaisupporting role, liang jiequ tan er  xiao tanmain role, xin rui qizhao qing yunsupporting role, hu chun yongyu haosupporting role, wang hao gemo jing xuan main role
Fighting Time ,3.0,using office life as background this drama depicts the white collar office worker xu nuo and ceo shen zhizes relationship turning from,chinese,56,2017,drama , drama , romance , chinese ,drama ,drama ,wang davidunknown role, pan zhi linunknown role, wei shawnunknown role, wang long zhengunknown role,wang davidunknown role,wang davidunknown role
Schemes of a Beauty ,3.0,set in changan china during the beginnings of the han dynasty meiren xinji tells a dramatized account of empress dou and how her efforts and achievements in the royal court positively influenced the reign of her husband emperor wen which paved the way for the creation of the rule of wen and jing,chinese,40,2010,drama , drama , historical , romance , chinese ,drama , he mickeyzhou ya fusupporting role, mao zi junliu chesupporting role, wu myolielu yu role, gong michen ah jiaosupporting role, lin rubyxian lian  du yun xi  dou yi fang  empress doumain role, lu kelseyprincess lu yuansupporting role
Great Inventors ,2.5,this drama is about all funny stories in a super normal human institute psychiatric hospital lee curie zhang zidong is an engineer and inventor creating many small but magical tools that everyone wishes to have one in daily life while zhuge strong mike sui uses them to chase girls or revenge whom bully him before,chinese,10,2015,drama , comedy , drama , chinese ,drama ,drama ,,,,,,
Ugly Girl Hai Ru Hua ,3.0,this is the story of a plucky and enterprising girl hai ru hua whos doing her best to support herself and her younger brother in art school theyve lost their parents and only have each other her brother has a,chinese,35,2017,drama , comedy , romance , chinese ,drama ,drama ,liu guan linsupporting role, wang yu weilu si yu supporting role, xu mifymain role, lai yiwen chumain role, zhu xu danlu ru haimain role,liu guan linsupporting role
What's Da Bao Bao ,3.0,whats da bao bao is a 2015 chinese web series directed by cong er and zhang shuo,chinese,11,2015,drama , drama , chinese ,drama ,drama ,drama ,,,,,,
My Ruby My Blood ,3.0,the series tells the love story of a rich man meeting a poor girl he is the general manager of a premier jeweller who discovers the heroines talent for design and hires her as an employee she brings along her baggage as a breadwinner who has to support everyone in her family including her boyfriend  adapted from a novel of the same name by du mu zhou,chinese,38,2017,drama , romance , chinese ,drama ,drama ,drama ,ying erye zhao juemain role, yue yao lisupporting role, ren yan kaijian chen yesupporting role,ying erye zhao juemain role,ying erye zhao juemain role,ying erye zhao juemain role
Dreamer ,3.0,dreamer is a 2015 chinese web series directed by wang wei,chinese,11,2017,drama , comedy , chinese ,drama ,drama ,drama ,,,,,,
Ice Fantasy Destiny ,3.0,ice fantasy destiny transports the epic fantasy adventure story into a modern day setting it is the year 2020 and kasuo has been reincarnated as feng suo the head of a high technology company he inadvertently unlocks memories of the past and regains his power thus igniting a new chapter in the history of the ice and fire tribe,chinese,16,2017,drama , fantasy , romance , chinese ,drama ,drama , memet vickyming nasupporting role, zhang alinayan da  yan zhumain role, main role, huang francisqin chusupporting role, lu zi zhenqiao qiaosupporting role, hu bingqin hansupporting role
Kill ,3.0,lin sen nine to five office workers consciously work tasteless and unable to change crush a girl for a long time did not have the courage to get to know finally in the loss of the whistle of the instigation stole the girls bag trying to create a package through the opportunity to package but found that there is a bag of bags of diamonds worth millions whistle feat want to have their own immediately things began to get out of control such as the butterfly effect as out of control accidentally one after another all the way after another secret plot endless dangerous like a ring originally a stealing package girl little things but the two push the bottomless swirl   　　there is such a story that is the hole there are two rats hungry are afraid to go out for fear of a cat outside and finally one day one of the rats can not carry went out its how to end no one knows the only thing to know is that the hole that mouse is certainly starved to death 　　heaven and earth to all things for the dog those who kill us will eventually make us stronger,chinese,20,2017,drama , comedy , drama , mystery , chinese ,drama ,,,,,,
Taichi Master ,3.0,the story of a frivolous young man who later transforms into a taichi grandmaster yet the story is more complicated than that involving a nations struggle a fighters honor and a familys pride,chinese,40,2017,drama , action , drama , martial arts , chinese ,drama ,yuan crystalmain role, tang tinamain role, bai michellesupporting role, ying junmain role, cheng kevinmain role,yuan crystalmain role
White Deer Plain ,2.5,set in the eponymous white deer village in shaanxi province where the two most important families  bai and lu  and their sons have always lived together in peace but the turmoil leads to a fierce struggle for land ownership a young woman new to the village soon finds herself caught between the two camps director liu jin uses the story of these two families as a metaphor for the fate of the chinese people as first chinese war lords are overrun by japanese invaders then civil war follows hot on the heels of the second world war and finally the victorious maoists begin waving their red flags the drama is based off the novel by chen zhong shi,chinese,77,2017,drama , drama , historical , war , chinese ,drama ,cao xin yueleng qiu shuisupporting role, li hong taolu sansupporting role, li qintian xiao esupporting role, zhai ronaldbai xiao wensupporting role, qin hailuxian caosupporting role, zhang jia yibai jia xuanmain role
Psychologist ,3.0,the story between a psychologist with dissociative identity disorder and his female alterego,chinese,18,2017,drama , medical , psychological , romance , chinese ,drama ,wu yetu ruisupporting role, qi jigao fengsupporting role, tang tinaou yang xinmain role, qiao zhen yuxia mumain role, wang guo dongksupporting role,wu yetu ruisupporting role
My Robot Boyfriend ,3.0,yu zhenxin is a robot secretly and specially designed in specialising in serving the needs of slightly older unmarried women intern doctor lin mengnan accidentally chanced upon and is being served by yu zhenxin who treats her especially well making mengnan feel pampered and in bliss,chinese,24,2017,drama , romance , sci-fi , chinese ,drama ,drama ,zhu peeryu zhen xinmain role, baronyang xiao yusupporting role, zeng meng xueling meng nanmain role, qu yu tongzhang man nisupporting role,zhu peeryu zhen xinmain role,zhu peeryu zhen xinmain role
