Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
Cafeteria ,3.0,four celebrity hosts of the show visit famous companies in korea to reveal their work environment and meet the employees,korean,40,2018,drama , action , drama , fantasy , korean ,drama ,,,,,,
Cart Show Season 2 ,2.0,while shopping at an empty market celebrities reveal their latest news and lifestyle as well as their secret tips for smart housekeeping,korean,300,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Lunch Time ,2.5,it was during korea peace corps staging a threeday stateside orientation for the first time this midwesterner sat,korean,50,2018,drama , comedy , food , game-show , kshow , korean ,,,,,,
Family Diaries ,3.0,in this variety program three busy families attempt to have dinner together at home every evening at 7 oclock,korean,100,2018,drama , comedy , fantasy , game-show , kshow , vampire ,,,,,,
God's Quiz: Reboot ,3.0,after han jin woo gets involved with an unexpected case he returns to the medical examiner office for the first time in 4 years,korean,12,2018,drama , detective , investigation , medical , korean ,drama ,yoo jung raeim shi hyunsupport role, yoon borajung seung binsupport role, park jun myunjo yeong shilsupport role, park hyo joomoon soo anmain role, yoon joo heekang kyung heemain role, ryu deok hwanhan jin woomain role
Oh My Ghost ,3.5,this is a drama about a girl who is possessed by a ghost and a chef who doesnt believe in ghosts na bong sun park bo young has an extremely timid personality and low selfesteem doesnt have any close friends and is constantly getting reprimanded at her job as a restaurant sous chef she also occasionally sees ghosts thanks to a shaman grandmother one day bong sun gets possessed by a lustful virgin ghost named shin soon ae kim seul gi to make up for the lack of romance in her short life soon ae is determined to seduce as many men as she can by possessing various women and she finds the perfect vessel in bongsun bong suns boss is arrogant star chef kang sun woo jo jung suk whom she secretly has a crush on sun woo still hasnt gotten over an old girlfriend but when bong sun seemingly gets rid of her shyness and suddenly changes into a confident dynamic woman she finally catches his eye,korean,16,2015,drama , comedy , fantasy , romance , korean ,drama , choi woongjoo jang gyu supporting role, choi woongjoo jang gyu supporting role, choi woongjoo jang gyu supporting role, choi woongjoo jang gyu supporting role, choi woongjoo jang gyu supporting role, choi woongjoo jang gyu supporting role
Hidden Singer Season 5 ,3.0,on february 8 kst jtbc announced the return of hidden singer for its 5th season with the goal of airing its first episode within the first half of 2018 with this information it has also been announced jun hyun moo will be returning to the program as the mc once again he has been hosting the show since the very first season and has shown great chemistry with the producerswriters of the program for several years,korean,20,2018,drama , detective , game-show , kshow , korean ,drama ,,,,,,
Got Ya! GWSN ,3.0,mnet will be launching a reality program with a new format for kiwi media groups upcoming girl group gwsn gwsn is short for the groups korean name gong won so nyeo which is a combination of the korean words for a park and young girl got ya gwsn will be the first in korea to feature an observational game format for a debut through this format the gwsn members will become the main characters of the game while four mcs will oversee and predict the gwsn members actions,korean,400,2018,drama , comedy , fantasy , game-show , kshow , music ,dindin, kim shin young, cho so jin, son dong woon,dindin,dindin
Rich Family's Son ,3.0,lee gwang jae is the son of a rich family and he is immature his father dies and leaves behind large debts for his fathers honor gwang jae struggles to pay off his debt kim yeong ha with her bright and positive personality supports gwang jae,korean,100,2018,drama , family , melodrama , romance , korean ,drama , kang nam gillee kye dongsupport role, shim eun jinmyung sunsupport role, yang hye jiseo heesupport role, elkiemong mongsupport role, choi chang wookdirector, kim jung sooscreenwriter
YG Future Strategy Office ,3.0,kpop star seungri bigbangs youngest member tries to lead a team of bumbling staff at ygs future strategy office in this mockumentary sitcom,korean,24,2018,drama , business , comedy , music , sitcom , korean , song min hosupport role, jung chan woosupport role, lee seung hoonsupport role, kim ga eunsupport role, b.isupport role, kim jin hwansupport role
Mimi Shop ,3.0,hot celebrities gather together to open a trendy beauty shop with tony as a boss sandara so yul cheetah and jin kyung join the show to show off their beauty tips and makeup skills since they have been to number of professional beauty shops and got their makeup done by professional makeup artists they seem confident enough to open a shop will they be able to open a shop successfully stay tunedto check their business story out,korean,120,2018,drama , drama , game-show , kshow , korean ,drama ,park sandaraservice manager & make-up artist, lee seung hoon, kim jin woo, cheetahmake-up artist, ahn tonyceo, kang seung yoon
 Super Race Magazine ,3.0,the final game of 6000 class series a top class in the superrace championship is live streamed on channel a thrilling fans at home and abroad koreas top racing drivers with exceptional skills compete for the grand prize at superrace koreas one and only international motorsports event,korean,40,2018,drama , sports , vampire , korean ,drama ,drama ,,,,,,
My English Puberty ,2.5,have you ever wondered why its so hard to speak english even after learning for 10 years celebrities who have struggled english all their lives came to take the intense 8week english speaking project watch them overcome their fear of speaking english and break out of their comfort zones,korean,20,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Carefree Travelers ,3.0,a very special vacation package for four men in their 40s four of the most popular show hosts in korea come together to travel to overseas destinations with a group of tourists and a tour guide,korean,100,2016,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
After The Rain ,3.0,this is a comic human drama about bonggil who is forty single and dying to move to seoul and away from his 90yearold father whos been making pyeongyang naengmyun for the past 70 lonely years,korean,2,2018,drama , comedy , family , food , korean ,drama ,,,,,,
Intensive Tour - Sin and Punishment ,2.5,in this variety program popular characters from comedy big league come out to the real world for a hilarious sketch,korean,50,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Star Couple Show - Son In Law Edition ,3.0,celebrity sonsinlaw visit their wives parents alone can they survive their stay,korean,200,2009,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
300 ,3.0,eight kpop artists and their 300 fans compete in a neverbeforeseen choir contest who will win the competition and take home the winning prize of one hundred million won,korean,100,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Lovely Horribly ,3.5,a man and a woman are bound by an unusual fate ones happiness always results in the others misfortune the two start writing a drama together and the events in the screenplay mysteriously begin occurring in real life ,korean,32,2018,drama , comedy , drama , horror , romance , korean ,song ji hyoji eul soonmain role, lee ki kwangsung joongmain role, park shi hooyoo phillipmain role, ji seung hyunsupport role, choi yeo jinki eun youngsupport role, ham eun jungshin yoo namain role
Time ,3.0,sehhee and jiwoo have dated for two years jealousy consumes her she worries he will tire of her face then she disappears telling no one she goes to a plastic surgeon for a new face jiwoo has no idea where she is although when he does respond to other women someone unseen intervenes then he meets seehee and although he tells her he misses sehhee this new relationship blossoms into love theytalk at the same coffee house visit the same sculpture park and pose for the same photographs he did with sehhee we know they are the same woman has this new face and renewed love made her happy and what will jiwoo do when he learns the truth is losing face losing self source imdbcom,korean,46,2018,drama , drama , life , mature , romance , korean ,sung hyun ahseh-heemain role, park ji yeonse heesupport role, hong gyung yunsupport role, na soo yoonblind date woman #2support role, ha jung wooji woomain role, kim ki dukunkown job
Mr. Sunshine ,3.5,this drama tells the story of a young boy who travels to the united states during the 1871 shinmiyangyo and returns to his homeland later as an american soldier he then meets and falls in love with an aristocrats daughter,korean,24,2018,drama , historical , military , romance , korean ,drama ,lee shi ahchoi yoo-jins mothersupport role, kim byung chulunknown, park ah inko ae soonsupport role, , yoon gyung hounknown, ji seung hyununknown
Let Me Introduce Her ,3.0,ji eun han loses her memory after a facial reconstruction surgery han kang woo is her plastic surgeon and helps her she faces strange revelations during the process ,korean,40,2018,drama , medical , melodrama , mystery , romance , korean ,lee ho junglee hyun soosupport role, , kim jung younglee sook hyunsupport role, jung jin woonlee hee yeongsupport role, han eun jungjung soo jinsupport role, jung young joomadame hwangsupport role
Mom And Mackerel ,3.5,to remember the taste of the simple but great tasting dishes prepared by their mothers celebrities try documenting the recipes in their own creative ways,korean,50,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Teachers' War ,2.5,where can the poor find a good place to learn how can busy people find time to study how are celebrity teachers and lecturers born this program aims to find the answers to these questions about teaching and education,korean,50,2018,drama , comedy , fantasy , game-show , kshow , school ,,,,,,
Voice Avengers ,2.5,a quiz show featuring internet celebrities who are famous for their impressions,korean,50,2018,drama , comedy , fantasy , game-show , kshow , vampire ,,,,,,
Just Happened Lab ,4.0,this variety program explores the human mind and how people make choices by watching celebrities participate as players in a fake game designed by architects,korean,50,2018,drama , comedy , fantasy , game-show , kshow , vampire ,,,,,,
Go Here ,3.0,from the producers of what are we eating today and demand of luxurious food let jeong hyeongdon and seo janghoon pick only the best eateries for you,korean,60,2018,drama , comedy , fantasy , food , game-show , vampire ,,,,,,
Miracle Project Pick Me Pick Me ,3.0,a fierce competition to create the best rice recipe whose recipe will be named the best,korean,50,2018,drama , fantasy , food , game-show , kshow , korean ,,,,,,
Road to Ithaca ,3.5,four korean rock stars travel from turkey to ithaca greece the cast members of this variety program must create video contents and upload them on social networks to earn money for their trip will they be able to arrive in ithaca without a problem,korean,60,2018,drama , comedy , fantasy , game-show , kshow , vampire ,,,,,,
Twelve Nights ,3.0,12 nights is a travel romance drama that tells the story of a man and a woman who spend 12 nights together during their three trips han seung yeon and shin hyun soo who have costarred in age of youth are reuniting as the leads in the new drama ,korean,40,2018,drama , romance , korean ,drama ,drama ,drama , kim bum jinkwon gi taesupport role, lee gun wooeun pyosupport role, shin hyun soocha hyun ohmain role, hwang so heese jeongsupport role, lee ye eunsupport role, yoo joon hongsupport role
A-Teen ,3.0,its easy to talk about teenagers but we are now in our teens for the first time all the moments were too serious to say i was not worried teenage school romance web drama,korean,24,2018,drama , friendship , romance , school , youth , korean ,lee na eunkim ha namain role, ryu ui hyuncha gi hyunmain role, shin seung honam shi woomain role, choi won myung role, na jae minstudent  role, kim soo hyunyeo bo rammain role
Urban Legend ,2.5,in this variety program featuring vr games kpop idols lovelyz and wjsn investigate the mystery of urban legends in seoul,korean,9,2018,drama , comedy , fantasy , music , vampire , korean ,jung ye in, seo ji soo, kei, lee mi joo,jung ye in,jung ye in
Dunia: Into A New World ,3.0,in this unrealistic variety show a cast of 10 characters are thrown into the virtual world of dunia where they must survive while we learn about their dramatic stories,korean,20,2018,drama , action , drama , fantasy , friendship , youth ,kwon sung mindirector, dindin, kwon hyun bin, koo ja sung, u-know yun ho, jung hye sung
Borrow Trouble Season 2 ,3.0,borrow trouble s2 subs on twitter eng sub 180629 borrow trouble season 2 paradise  episode one brought to you by borrow trouble subs ,korean,40,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Your Honor ,3.5,two identical twins han soo ho and han kang ho look exactly alike but lead entirely different lives han soo ho is a respectable judge who does everything by the book while han kang ho is not only a convicted criminal but a repeat offender when han soo ho suddenly disappears han kang ho ends up taking his brothers place and living a new life as a judge,korean,40,2018,drama , comedy , detective , fantasy , vampire , korean ,hwang seok jungsupport role, , yoon na moolee ho sungsupport role, sung dong ilsupport role, boo sung chuldirector, heo sung taesupport role
Familiar Wife ,3.5,a married couple suddenly finds themselves living entirely different lives after their fates magically change through an unexpected incident ,korean,18,2018,drama , drama , fantasy , romance , korean ,drama ,ji sungcha joo hyukmain role, lee yoo jinjung hyun soosupport role, kim so rajoo hyang sooksupport role, jang seung joyoon jong hoomain role, nkim hwansupport role, yang hee seungscreenwriter
One Night Food Trip 3 ,3.0,go farther and eat more the newlyformed mukbang heroes are willing to go anywhere in the world to find truly great food the unprecedented and incomparable mukbang trip begins now,korean,300,2018,drama , comedy , fantasy , food , game-show , kshow ,,,,,,
Risky Romance ,3.0,risky romance is a medical drama about a surgeon and an endocrinologist,korean,40,2018,drama , medical , romance , korean ,drama ,drama ,yoon joo heejoo se ramain role, ji hyun woomain role, lee shi youngjoo in ahmain role, shin won homain role, kim jin yeopsupport role, bae seul gisupport role
Ping Pong Ball ,3.0,kim young joon is a philosophy major at a university he confesses his feelings to a female classmate but she rejects him he takes her rejection hard kim young joon then meets a mysterious homeless man kim deuk hwan who lives under a small bridge kim deuk hwan has also experienced rejection in love and they develop a friendship source mydramalist,korean,2,2018,drama , drama , friendship , sports , korean ,drama ,kim sang hodirector, ji sookim young joonmain role, na hae ryungin hasupport role, yoo jae myungkim deuk hwanmain role, jung young kimr choisupport role, choi kwang ilpub ownersupport role
Thirty But Seventeen ,3.5,gong woo jin is a 30yearold single man who works as a set designer due to a trauma he experienced 13 years ago he does not want to have a relationship with others when woo seo ri was 17 she had a severe car accident and fell into a coma 13 years later she wakes up from her coma mentally she is still only 17 years old while physically she is now30 the two of them get involved and fall in love,korean,30,2018,drama , romance , korean ,drama ,drama ,drama ,jo sung heescreenwriter, yang se jonggong woo jinmain role, jung eugenesupport role, jo soo wondirector, yoon sun woosupport role, wang ji wonsupport role
Parents Report Card ,2.5,tear down the wall between parents and kids with the input from the panel of foreigners who can offer diverse views on the status of korean parentschildren relationship and young celebrities who can speak for teenagers the program aims to help parents and children understand each other better through effective communication and constructive criticisms,korean,50,2018,drama , family , fantasy , game-show , kshow , korean ,,,,,,
Voice Season 2 ,3.5,the drama follows the lives of 112 emergency call center employees as they fight against crimes using the sounds that they hear,korean,16,2018,drama , comedy , fantasy , korean ,drama ,drama ,,,,,,
DMCF ,3.0,dmc festival 2018 presents worldfamous kpop artists amusing performances also a special episode of king of the mask singer takes place to entertain the viewers to celebrate the year 2018 and introduce korean songs and contents hot and trendy artists gather together through three different stages super concert korean music wave and king of the mask singer coming to you live from mbc hall in dmc the passionate artists and fans will amaze you stay tuned to find out and enjoy this years dmc festival 2018,korean,50,2018,drama , comedy , fantasy , game-show , kshow , vampire ,,,,,,
My ID is Gangnam Beauty ,3.5,kang mi rae who gets plastic surgery after being bullied because of her looks however she then gets teased as the gangnam plastic surgery monster the drama will follow her story of recovering selfesteem as she gets to know do kyung suk ,korean,32,2018,drama , comedy , romance , korean ,drama ,drama ,im soo hyangkang mi raemain role, bae da binkwon yoon byulsupport role, cha eun woodo kyung sukmain role, do heeoh hyun jungsupport role, kwak dong yeonyeon woo youngsupport role,im soo hyangkang mi raemain role
Momoland Saipan Land ,3.0,momoland will have their first reality show it was announced that momoland will be airing their first reality show since debut called saipan land the first episode will air on june 18th on mbc music at 6pm kst,korean,29,2018,drama , game-show , kshow , music , korean ,drama ,,,,,,
Fox Bride Star ,3.0,kang ki chan and yoon seo wool are rookies who works at incheon airport ki chan dreamed of becoming a pilot but vision in one of his eyes was bad enough that he had to give up on his dream he joins the general planning department seo wool begins to work in the cs management department at the airport she wants to be a perfectionist but her reality is a little bit different,korean,40,2018,drama , melodrama , romance , korean ,drama ,drama , kang eun kyungscreenwriter, kim yeo jinyoon hye wonsupport role, shin woo cheoldirector, kim won haepark tae heesupport role, lee sung wookchoi moo jasupport role, jung jae sunglee woo taeksupport role
The Chul's Tour ,3.5,traveling locally with locally obtained information guests will stay in the guesthouse and get in touch with the travelers looking for unknown attractions and food,korean,40,2018,drama , comedy , fantasy , food , game-show , vampire ,,,,,,
Life ,3.0,a medical drama that depicts the power struggles and human stories that take place within a university hospital,korean,16,2018,drama , comedy , medical , romance , korean ,drama , yum hye rankang kyung ah support role, yoo jae myunghead of the cardiothoracic centersupport role, yum hye rankang kyung ah support role, yum hye rankang kyung ah support role, yum hye rankang kyung ah support role, yum hye rankang kyung ah support role
Sea Police ,2.5,this time they go out to the sea to stop crime the four celebrity members of the rural police spinoff try their hands at becoming sea police,korean,50,2018,drama , action , comedy , vampire , korean ,drama ,,,,,,
Galileo ,3.0,new sf variety program on the subject of mars they will try to survive in the mdrs mars desert research station located in utah us simulating the same condition that it would be like to live on mars to summarize the cast will live in a space analog facility mdrs  a place for cosmologists  will be revealed for the first time in korea,korean,58,2018,drama , adventure , documentary , sci-fi , korean ,drama ,kim se jung, ha ji won, nichkhun, kim byung man,kim se jung,kim se jung
Island Trio Season 2 ,2.5,the island trios new journey begins the second season of island trio where kang hodong and celebrity guests experience life in an island village,korean,51,2018,drama , detective , drama , family , game-show , kshow ,,,,,,
Shall We Live Together ,3.5,the story explores the relationships between generations in a family between parents parents and children and all the process by which all of them learn to relate to each other park yoo ha han ji hye studied hard in medical school and finished her intern course she works hard to become a doctor due to her father her father raised 4 children by himself and her oldest sister also sacrificed for the family she is not interested in other people suddenly her father marries a woman rich enough to own a building meanwhile jung eun tae lee sang woo works as a doctor he volunteered for performing medical service abroad but he comes back to korea he is not interested in marriage because his father placed priority on his medical work over family and jung eun tae believes he is like his father,korean,50,2018,drama , comedy , drama , romance , korean ,drama ,yoo dong geunpark hyo seobsupport role, jang mi heelee mi yeonsupport role, jung chae yeonlee mi yeon support role, lee sang woojung eun taemain role, han ji hyepark yoo hamain role, yeo hwi hyungpark jae hyungsupport role
 Soribada Best K-Music Awards ,3.5,fans from around the world are delighted with the release of the lineup of the 2018 soribada best kpop music awards you can see the top idols from bts ,korean,200,2018,drama , game-show , kshow , music , korean ,drama ,,,,,,
Who Wants a Baby? ,2.5,this drama is about an unexpected pregnancy disrupts the plans of married couple ali lee and chris lai they initially hoped to rely on their mothers for help but their mothers have opposite methods of raising the baby resulting in frequent conflicts the couple find themselves in a neverending 24 hour cycle of taking care of their daughter due to the circumstances they hire the expert postpartum caregiver griselda yeung because of the babys arrival ali bid farewell to her career in fashion while chris must stay away from his nightly pastimes in order to make more time for her daughter ali makes a career change and takes over a postnatal care agency with griseldas help she comes into contact with many clients and caregivers giving her a new understanding of being a mother meanwhile she and chris are drifting apart she even suspects that he is having an affair with his colleague from the bar samantha ko unexpectedly chris becomes an internet sensation after rescuing a child from an accident the care agency instantly becomes a key influencer in the baby industry which turns everything on its head,korean,20,2018,drama , comedy , family , fantasy , korean ,drama , yiu clairehui long  bellesupport role, lo angelinayip hong lai jing  joycesupport role, tsui wingyip chi yuensupport role, huynh stephenlee goon chung  frankiesupport role, ng carlochoi cheung chingsupport role, chan rebeccaleung yuet simsupport role
Couple ,3.0,yoo suk looks for a girlfriend who disappeared ae yeon has a fake diamond which her exboyfriend gave to her ae yeon was dumped by her ex boyfriend byung chan does not believe in love bok nam is in love with a friend of a friend,korean,50,2018,drama , comedy , drama , melodrama , romance , korean ,,,,,,
Come On! THE BOYZ ,3.0,더보이즈the boyzs new 1thek original is coming stay tuned for first episode coming on january 18  1thek 원더케이,korean,40,2018,drama , comedy , fantasy , game-show , kshow , korean , kim sun woo, hwall, q, bae jacob, new, kevin moon
Operation ATEEZ ,3.0,manga artist he jie has entered into his own manga crystal love and he must complete the mission of saving the evil second female lead turning her into a better person before he can return back to the real world he ended up having to keep on filling up the loopholes of his own manga again and again forming a funny lovestory,korean,40,2018,drama , comedy , fantasy , game-show , kshow , korean ,,,,,,
Where on Earth?? ,3.0,ji jin hee cha tae hyun cho sae ho and bae jung nam set off to the arabian desert where they have to find their own route to the arabian sea they walk 45km in the scorching desert heat with,korean,20,2018,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Produce 48 ,3.0,produce 48 a new program that will combine the competition system of produce 101 where viewers select which idols will debut with the idols you can meet concept of akb48 performing in a designated theater for fans,korean,12,2018,drama , music , korean ,drama ,drama ,drama , soyouvocal trainer, kojima mako, lee seung gi, miyawaki sakura, matsui jurina, lee ka eun
My Korean Teacher ,3.0,after being dumped by his girlfriend the company yong woon works for goes bankrupt while he is in okinawa on a business trip so he needs employement single mother sakura works for a travel agency and needs to learn korean for her job she then meets yong woon at a korean language institute and their romance begins,korean,1,2016,movie , comedy , romance , korean ,movie ,movie ,ye sungyong woonmain role, asahara yuzounkown job, sasaki nozomisakuramain role, sakiyama kazuhayurisupport role,ye sungyong woonmain role,ye sungyong woonmain role
Sunset in My Hometown ,3.0,hak soo is an unpopular rapper who is homeless he receives a phone call and goes back to his hometown of byeonsan there he meets sun mi they graduated from the same elementary school,korean,1,2018,movie , drama , korean ,movie ,movie ,movie , jung gyoo soosupport role, bae je kisang ryulsupport role, jo ha seoksupport role, jung sun chuljoong shiksupport role, lee jun ikdirector, go joonyong daesupport role
Detour ,2.5,three people get a call about a passing one day and they reunite in jeju joong pil who attends a major company and hopes for retirement soo tak who has been taking the public worker exam for 13 years and eun dong a news anchor who looks normal on the outside but is soft on the inside,korean,1,2016,movie , comedy , drama , friendship , korean ,movie , jo eun sooksun misupport role, jang sung bumsoo tak support role, yoo da inna raesupport role, jung eun sungfemale announcersupport role, jo eun sooksun misupport role, jo eun sooksun misupport role
"TV Novel – Waves, Waves ",3.0,a human family drama depicting the story of a family of five women who lost their property and became separated families after the war,korean,143,2018,drama , comedy , drama , romance , korean ,drama ,sun woo jae dukhwang chang shiksupport role, sung hyun ahcheon geum geumsupport role, ban hyo junghong ki jeonsupport role, kim jaycha sang pilmain role, park jung wookhan kyung homain role, ah youngoh bok shilmain role
Witch's Love ,3.5,in plain sight in bustling seoul three generations of witches have been living below the radar of everyone around them kang cho hong operates a restaurant with her fellow witches maeng ye soon and jo aeng doo they try to keep a low profile but cho hongs youthful good looks attract the attention of a neighborhood guy hwang jae wook who is constantly trying to get close to her cho hong and her fellow witches quiet lives become complicated when their building landlord ma sung tae shows up one day sung tae wants to face a traumatic incident that happened to him in that building when he was a little boy with sung tae nosing around their business on a regular basis can cho hong keep her true identity a secret from him,korean,12,2018,drama , comedy , fantasy , romance , korean ,drama ,hyun wooma sung taemain role, kim young okmaeng ye soonsupport role, choi jae supkim dong soosupport role, hong binhwang jae wookmain role, yoon so heekang cho hongmain role, go soo heejo aeng doosupport role
Man vs Child Korea ,3.0,a team of talented young cooks ranging in age from 10 to 16 challenges koreas top chefs in a cooking competition,korean,100,2018,drama , comedy , food , vampire , korean ,drama ,,,,,,
Your House Helper ,3.0,its tell the story of a helper who aids a woman whose head and house is a mess kim ji woon ha suk jin is the wealthy son of an assemblyman father and a doctor mother he began a career at a major conglomerate but chose to protect his pride and ended up getting cut off from his family and somehow ends up working as a housekeeper hes got a gruff personality but finds satisfaction in creating order out of chaos meanwhile im da young bona is an ambitious intern at an ad agency trying to make up for her lack of specs and land a permanent job whose friendly and placating demeanor gets mistaken for flirting by her colleagues,korean,16,2018,drama , comedy , romance , korean ,drama ,drama , seo eun ahhan so misupport role, ha suk jinkim ji woonmain role, go won heeyoon sang ahmain role, support role, lee min youngsupport role, lee ji hoonkwon jin kookmain role
Let's Eat Season 3 ,3.5,lets do the ceremony 3 will confirm the casting of yoon doojoon and baek jinhee the tvn official said on november 11 lets do the ceremony 3 is scheduled to be on july 16 following the about time,korean,23,2018,drama , comedy , drama , food , romance , korean ,ahn woo yeonsupport role, yoon doo joongoo dae youngmain role, choi kyu shikdirector, l.joesupport role, seo hyun jinbaek soo ji role, baek jin heelee ji woomain role
Sweet Revenge ,3.0,this web drama is a teen fantasy drama about a teenager who gets her hands on a note that enacts revenge on anyone whose name is written on it,korean,17,2017,drama , comedy , fantasy , friendship , romance , school , jin jinhimself role, rockyhimself role, yoon san hahimself role, park kyung rimsupport role, jung eun sung role, kim hwan heejung deok heemain role
Seoulmate ,2.5,celebrity hosts prepare their houses to greet the special guests from abroad during three days of their staying the foreigner guests explore seoul with a guidance from their hosts and the two people who might never have met otherwise exchange their stories and build friendship listen to their exciting stories and see seoul through eyes of strangers,korean,50,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Off To School ,3.0,south korean variety program where celebrities will be attending a selected high school as students for 3 days,korean,68,2014,drama , comedy , fantasy , school , korean ,drama ,nam joo hyuk, sung dong il, shin ji min role, hani, kang nam,nam joo hyuk
Grandpa Over Flowers Returns ,3.5,a new season of the hit tv show grandpa over flowers with a new member the grandpas and lee seojin are back with more funpacked trips to europe,korean,31,2018,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Gourmet Club ,2.5,let these celebrities guide you to the best places to eat in korea in this variety program actors and chefs try the most popular restaurants and create a consumer report on the food,korean,60,2018,drama , comedy , game-show , kshow , romance , korean ,,,,,,
Blackpink House ,4.0,blackpink house will follow the four members of blackpink as they move into their new dorm where theyll be spending 100 days of vacation,korean,20,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Romance Package ,3.0,the romance package youve been looking for deedee is regularly organized,korean,100,2018,drama , romance , korean ,drama ,drama ,drama ,im soo hyang, jun hyun moo,im soo hyang,im soo hyang,im soo hyang,im soo hyang
Hatch ,3.0,set during the joseon dynasty period four people from different walks of life come together to reform the sahunboo prosecution these four people are prince lee geum park moon soo yeo ji and dal moon,korean,,2018,drama , adventure , historical , korean,drama ,drama ,go ah rayeo jimain role,go ah rayeo jimain role,go ah rayeo jimain role,go ah rayeo jimain role,go ah rayeo jimain role,go ah rayeo jimain role
Witch’s Romance ,3.0,ban ji yeon uhm jung hwa is a single 39yearold woman she works as a reporter and is very enthusiastic about her work so much so that she is often called a witch at work she doesnt believe in true love because of her past experience when her boyfriend disappeared prior to their wedding meanwhile yoon dong ha park seo joon is a 25yearold young man who runs a small errand center with his friend the errand center will do pretty much anything including sending out someone dressed as santa claus or provide security for an idol star he looks like a happy guy but he lost his girlfriend by an accident,korean,16,2014,drama , comedy , romance , korean ,drama ,drama ,  role, lee gook joooh hae nyeo role, ra mi ranbaek na rae  role, narshamo dang role,  role,  role
Park Won-sook's Live Together ,3.5,four middleaged actresses share their experiences and emotional stress of living alone and through their heartfelt stories the show searches for a new living arrangement that allows residents to support each other both emotionally and for practical problems encountered when living alone,korean,20,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Real Life Men And Women ,3.5,the variety show attempts to break misleading stereotypes about men and women find out differences between men and women and see how our thoughts have been shaped by stereotypes while playing fun games where gender is not a factor,korean,20,2018,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
All That Music ,3.0,in addition to quenching the thirst of local residents who yearn for more live music performance the program introduces overlooked bands that deserve more spotlight under the guide of yi sungyol the godfather of korean rock viewers and audience will get to experience a wide range of music and enhance their musical horizons,korean,100,2016,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Star Show 360 ,3.0,shimkung  pick up our hearts suga  today we are drunk with you,korean,8,2018,drama , comedy , music , korean ,drama ,drama , jin, jung eun ji, j-hope, jun jung kook, byun baek hyun, suga
Food Diary ,2.5,the cast of this variety show must cook delicious braised spicy chicken and they must start from raising a chicken the only things given to them are a few fertile chicken eggs and some land how much effort and time is actually required to make braised spicy chicken will they be able to eat the chicken they raised this is food diary where healing and drama happen at the same time,korean,40,2018,drama , comedy , fantasy , food , korean ,drama ,,,,,,
Are You Human Too? ,3.5,nam shin seo kangjoon is a son from a family who runs a large company after an unexpected accident he falls into a coma his mother oh rora kim sungryoung is an authority on brain science and artificial intelligence she creates an android named nam shin iii which looks like just like her son nam shin the android pretends to be nam shin and he has a bodyguard sobong gong seungyeon,korean,26,2018,drama , mystery , romance , sci-fi , korean ,drama ,seo kang joonnam shin  android nam shin iiimain role, lee joon hyukji young hoonsupporting role, gong seung yeonkang so bongmain role, park hwan heeseo ye nasupporting role, kim sung ryungoh ro rasupporting role,seo kang joonnam shin  android nam shin iiimain role
Cool Trips My Way ,2.5,our men four distinct styles watch these celebrity men introduce their favorite places to travel their way,korean,40,2018,drama , comedy , game-show , kshow , korean ,drama ,,,,,,
Life on Mars ,3.5,while investigating a serial murder case han tae joo jung kyung ho gets into an incident when he wakes up he finds himself back in year 1987 to get back to his present world he must solve the murder case,korean,16,2018,drama , crime , drama , mystery , korean ,drama , kim ki cheonmanager parksupport role, kim young pilkim kyung sesupport role, oh dae hwanlee yong kisupport role, support role, noh jong hyunjo nam shiksupport role, kim jae kyunghan mal sooksupport role
Goodbye to Goodbye ,3.0,a married woman in the 50s and a single woman in the 20s the two women on the completely opposite side of the world share a story of living together with complications from conflicts with the husbands lover marriage to pregnancy,korean,40,2018,drama , drama , romance , korean ,drama ,drama ,yang hee kyungsupport role, junhan min soomain role, ha shi eunhee jinsupport role, jo bo ahjung hyomain role, chae shi raseo young heemain role, lee sung jaehan sang jinmain role
Waiting For You In A Long Time ,3.0,waiting for a long time will be the premiere of the singers premiere of the singers journey to start a sweet youth journey,korean,12,2018,drama , comedy , fantasy , medical , korean ,drama ,,,,,,
Cover Brothers ,2.5, three comedians and one rapper who call themselves cover brothers create various cover videos in their unique style for an online video channel can their hilarious cover videos become viral,korean,37,2018,drama , game-show , kshow , music , korean ,drama ,,,,,,
